july-2026/cleanup-phase11                                                          0863ee335 [MEETING 18-JULY-2026] Draft
july-2026/cleanup-phase12                                                          0863ee335 [MEETING 18-JULY-2026] Draft
remotes/fork/july-2026/cleanup-phase11                                             0863ee335 [MEETING 18-JULY-2026] Draft
remotes/fork/july-2026/cleanup-phase12                                             0863ee335 [MEETING 18-JULY-2026] Draft
july-2026/cleanup-phase10                                                          5a56a8bf7 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `script-to-get-child-pids` finished
july-2026/cleanup-phase9                                                           f6d64f4e5 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `probable-original-commits-before-failed-rebases` finished
july-2026/cleanup-phase8                                                           39635caa1 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `work-in-progress-july-02nd-2026` finished
july-2026/cleanup-phase7                                                           0f398d1c5 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `original-work-in-progress-before-rebases` finished
july-2026/cleanup-phase6                                                           0db100427 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `partial-results-of-10-workers-in-cosmic-ray` finished
july-2026/cleanup-phase5                                                           aa8e54ae7 [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `learning-activities-2026` finished
july-2026/cleanup-phase4                                                           fc2cebfef [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `cosmic-ray-configuration` finished
july-2026/cleanup-phase3                                                           474df80bc [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `collaboration-opportunities` finished
july-2026/cleanup-phase2                                                           2b0fa379c [gone] [FORK-ONLY COMMIT] List of tags updated after analysis of branch `work-in-progress-issue-674` finished
july-2026/cleanup-phase1                                                           e8958a58e [gone] [FORK-ONLY COMMIT] Add list-of-tags.txt and list-of-tags-and-tag-shas.txt files (52 tags right now in fork repo)
website                                                                            3ada7f926 Bump website to trigger CI
remotes/fork/website                                                               3ada7f926 Bump website to trigger CI
develop                                                                            512114b2b DOC: Add Reference section to documentation (#709)
remotes/fork/HEAD                                                                  -> fork/develop
remotes/fork/develop                                                               512114b2b DOC: Add Reference section to documentation (#709)
master                                                                             2d4c744dd REL: 0.11.2
remotes/fork/master                                                                2d4c744dd REL: 0.11.2
